V,"Quy định bảo đảm trong hoạt động cấp tín dụng, tổng số 30 câu, trong đó 5 câu bổ sung mới:",,,,,,,
26,"Hãy chọn phương án đúng nhất:Những trường hợp nào phải đăng ký biện pháp bảo đảm?","Thế chấp quyền sử dụng đất; Thế chấp quyền sử dụng đất và tài sản hình thành trong tương lai gắn liền với đất; thế chấp tàu bay; Thế chấp phương tiện giao thông cơ giới đường bộ, phương tiện thủy nội địa, phương tiện giao thông đường sắt; Các trường hợp khác, nếu pháp luật quy định bắt buộc phải đăng ký.","Thế chấp QSDĐ; Thế chấp TSGLVĐ; Thế chấp QSDĐ đồng thời với TSGLVĐ; Thế chấp TSGLVĐ hình thành trong tương lai; Thế chấp QSDĐ đồng thời với TSGLVĐ hình thành trong tương lai; Thế chấp dự án đầu tư xây dựng nhà ở, dự án đầu tư xây dựng khác theo quy định của pháp luật; Cầm cố tàu bay, thế chấp tàu bay; Thế chấp tàu biển; Thế chấp phương tiện giao thông cơ giới đường bộ, phương tiện thủy nội địa, phương tiện giao thông đường sắt; Các trường hợp khác, nếu pháp luật quy định bắt buộc phải đăng ký.","Thế chấp quyền sử dụng đất; Thế chấp quyền sử dụng đất và tài sản hình thành trong tương lai gắn liền với đất; Cầm cố, thế chấp tàu bay; Thế chấp phương tiện giao thông cơ giới đường bộ, phương tiện thủy nội địa, phương tiện giao thông đường sắt; Các trường hợp khác, nếu pháp luật quy định bắt buộc phải đăng ký.","Thế chấp quyền sử dụng đất; Thế chấp quyền sử dụng đất và tài sản hình thành trong tương lai gắn liền với đất; Cầm cố, thế chấp tàu bay; Cầm cố xe ô tô; Cầm cố sổ tiết kiệm.",2,Khoản 1 Điều 34 Quy định số 2929/QyĐ-NHNo-TD,Rà soát 
27,"Bảo quản tài sản, giấy tờ của tài sản bao gồm:","Agribank nơi cấp tín dụng có biện pháp giám sát sau khi ký kết, công chứng/chứng thực HĐBĐ, ĐKBPBĐ để bảo đảm tính xác thực về TSBĐ và GDBĐ khi tiếp nhận, quản lý hồ sơ bảo đảm và giấy tờ về sở hữu/sử dụng của TSBĐ.","Việc tiếp nhận bản chính Giấy chứng nhận của TSBĐ, hồ sơ bảo đảm phải được lập phiếu nhập kho có đầy đủ chữ ký của đại diện Agribank nơi cấp tín dụng và Bên bảo đảm.",Cả 1 và 2 ,"Agribank nơi cấp tín dụng có biện pháp giám sát sau khi ký kết, công chứng/chứng thực HĐBĐ, ĐKBPBĐ để bảo đảm tính xác thực về TSBĐ; Việc tiếp nhận bản chính Giấy chứng nhận của TSBĐ, hồ sơ bảo đảm phải được lập phiếu nhập kho.",3,"Khoản 1, 2 Điều 36 Quy định số 2929/QyĐ-NHNo-TD",Rà soát 
28,Trong trường hợp tài sản bảo đảm cho toàn bộ nghĩa vụ thì việc rút bớt TSBĐ phải thông qua Hội đồng xử lý TSBĐ đối với các khách hàng nào?,Đối với khách hàng còn dư nợ từ 2 tỷ đồng trở lên.,Đối với khách hàng còn dư nợ từ 5 tỷ đồng trở lên.,Đối với khách hàng có dư nợ dưới 2 tỷ đồng.,Đối với khách hàng có dư nợ dưới 5 tỷ đồng.,1,Điểm c Khoản 2 Điều 39 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
29,Các trường hợp được giải chấp TSBĐ:,Khách hàng và Bên bảo đảm đã thực hiện nghĩa vụ (bao gồm toàn bộ hoặc theo phần.,TSBĐ được xử lý theo quy định.,"Rút bớt, thay thế TSBĐ.",Tất cả các trường hợp trên.,4,Khoản 1 Điều 42 Quyết định 2929/QyĐ-NHNo-TD,Rà soát 
30,"Agribank nơi cấp tín dụng thực hiện kiểm tra TSTC khác (không phải là hàng hóa luân chuyển trong SXKD; TSHTTTL; Quyền đòi nợ; QSDĐ, QSDĐ và TSGLVĐ, TSBĐ gắn liền với đất) tối thiểu?",1 tháng kiểm tra 01 lần.,3 tháng kiểm tra 01 lần.,6 tháng kiểm tra 01 lần.,12 tháng kiểm tra 01 lần. ,3,Điểm c Khoản 1 Điều 43 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
31,Agribank yêu cầu giao tài sản bảo đảm bị cầm giữ để xử lý trong trường hợp nào?,Tài sản thế chấp đang bị cầm giữ thì Agribank yêu cầu bên thế chấp thực hiện nghĩa vụ với bên cầm giữ để nhận lại tài sản. ,Trường hợp bên thế chấp không có khả năng hoàn thành nghĩa vụ đối với bên cầm giữ thì Agribank có thể xem xét thực hiện nghĩa vụ thay để nhận lại tài sản thế chấp và yêu cầu bên thế chấp thanh toán hoặc được tính vào nghĩa vụ của bên thế chấp khi xử lý tài sản. ,Cả 1 và 2 ,Tài sản thế chấp đang bị cầm giữ thì Agribank yêu cầu bên thế chấp thực hiện nghĩa vụ với bên cầm giữ để nhận lại tài sản; Trường hợp bên thế chấp không có khả năng hoàn thành nghĩa vụ đối với bên cầm giữ thì Agribank có thể xem xét thực hiện nghĩa vụ thay để nhận lại tài sản thế chấp,3,"Khoản 1, 2 Điều 45 Quy định số 2929/QyĐ-NHNo-TD",Rà soát 
32,"Hãy chọn phương án đúng nhất:Trường hợp không có thỏa thuận về xử lý tài sản bảo đảm, Agribank nơi cho vay có quyền xử lý tài sản bảo đảm kể từ ngày thông báo về việc xử lý tài sản bảo đảm là bao nhiêu ngày?","Không được trước 10 ngày đối với động sản hoặc 12 ngày đối với bất động sản (trừ tài sản có nguy cơ bị mất giá trị hoặc giảm sút giá trị; quyền đòi nợ; giấy tờ có giá, thẻ tiết kiệm; vận đơn).","Không được trước 10 ngày làm việc đối với động sản hoặc 20 ngày làm việc đối với bất động sản (trừ tài sản có nguy cơ bị mất giá trị hoặc giảm sút giá trị; quyền đòi nợ; giấy tờ có giá, thẻ tiết kiệm; vận đơn).",Trước ít nhất 10 ngày đối với động sản hoặc trước ít nhất 15 ngày đối với bất động sản (trừ trường hợp tài sản bảo đảm bị xử lý ngay theo quy định của pháp luật).,"Không được trước 07 ngày làm việc đối với động sản hoặc 15 ngày làm việc đối với bất động sản (trừ tài sản có nguy cơ bị mất giá trị hoặc giảm sút giá trị; quyền đòi nợ; giấy tờ có giá, thẻ tiết kiệm; vận đơn).",3,Khoản 4 Điều 46 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
33,Văn bản thông báo về việc xử lý tài sản bảo đảm có nội dung chủ yếu nào sau đây?,Lý do xử lý tài sản; Nghĩa vụ được bảo đảm.,Lý do xử lý tài sản; Nghĩa vụ được bảo đảm; Mô tả tài sản.,"Lý do xử lý tài sản; TSBĐ sẽ bị xử lý, Thời gian, địa điểm xử lý TSBĐ.","Lý do xử lý tài sản; Nghĩa vụ được bảo đảm; Mô tả tài sản; Thời gian, địa điểm xử lý tài sản bảo đảm.",3,Khoản 1 Điều 46 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
34,Nhiệm vụ của Hội đồng xử lý tài sản bảo đảm?,Nhiệm vụ của Hội đồng rà soát để đề xuất Tổng Giám đốc/Giám đốc Chi nhánh chấp thuận (đối với trường hợp vượt thẩm quyền); phê duyệt phương án XLTSBĐ đối với trường hợp thực hiện đủ nghĩa vụ tại Agribank nơi cấp tín dụng (bao gồm việc xác định giá khởi điểm khi đấu giá TSBĐ).,Phê duyệt phương án XLTSBĐ đối với trường hợp không thực hiện đủ nghĩa vụ tại Agribank nơi cấp tín dụng (bao gồm việc xác định giá khởi điểm khi đấu giá TSBĐ).,Hội đồng quyết định xử lý tài sản bảo đảm.,Nhiệm vụ của Hội đồng rà soát để đề xuất Tổng Giám đốc/Giám đốc Chi nhánh chấp thuận (đối với trường hợp vượt thẩm quyền); phê duyệt phương án XLTSBĐ đối với trường hợp không thực hiện đủ nghĩa vụ tại Agribank nơi cấp tín dụng (bao gồm việc xác định giá khởi điểm khi đấu giá TSBĐ); thực hiện các nhiệm vụ khác quy định tại Quy định này.,4,Khoản 2 Điều 54 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
35,"Theo quy định của Agribank, thành phần HĐXLTSBĐ tại chi nhánh loại I, loại II là?",Thành viên HĐXLTSBĐ tại Agribank nơi cấp tín dụng có thể  là người quyết định và thẩm định cấp tín dụng của khoản nợ được XLTSBĐ.,Thành viên HĐXLTSBĐ tại Agribank nơi cấp tín dụng không phải là người quyết định nhưng có thể là người thẩm định cấp tín dụng của khoản nợ được XLTSBĐ.,Thành viên HĐXLTSBĐ tại Agribank nơi cấp tín dụng có thể là người quyết định nhưng không phải là người thẩm định cấp tín dụng của khoản nợ được XLTSBĐ.,Thành viên HĐXLTSBĐ tại Agribank nơi cấp tín dụng không phải là người quyết định và thẩm định cấp tín dụng của khoản nợ được XLTSBĐ.,4,Khoản 2 Điều 55 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
36,Thành phần Hội đồng xử lý TSBĐ tại Trụ sở chính bao gồm?,Tổng giám đốc/Phó Tổng giám đốc; Giám đốc Trung tâm Quản lý nợ có vấn đề; Trưởng Ban Pháp chế; Trưởng Ban Chính sách tín dụng; Trưởng ban KHDN/KHCN; Trưởng Ban Tài chính kế toán; Đại diện Ủy ban quản lý rủi ro.,Tổng giám đốc/Phó Tổng giám đốc; Giám đốc Trung tâm Quản lý nợ có vấn đề; Trưởng Ban Pháp chế; Trưởng Ban Chính sách tín dụng; Trưởng Ban Tài chính kế toán; Đại diện Ủy ban quản lý rủi ro.,Tổng giám đốc/Phó Tổng giám đốc; Giám đốc Trung tâm Quản lý nợ có vấn đề; Trưởng Ban Pháp chế; Trưởng ban KHDN/KHCN; Trưởng Ban Tài chính kế toán; Đại diện Ủy ban quản lý rủi ro.,Tổng giám đốc/Phó Tổng giám đốc; Trưởng Ban Pháp chế; Trưởng Ban Chính sách tín dụng; Trưởng Ban Tài chính kế toán; Đại diện Ủy ban quản lý rủi ro.,1,Khoản 1 Điều 55 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
37,Xác định giá khởi điểm bán đấu giá TSBĐ theo thỏa thuận tại Agribank nơi cấp tín dụng?,Agribank thỏa thuận với Bên bảo đảm về giá khởi điểm để đấu giá TSBĐ trong trường hợp giá khởi điểm không thấp hơn nghĩa vụ được bảo đảm; ,"Trường hợp giá khởi điểm dự kiến thấp hơn nghĩa vụ được bảo đảm, Agribank thỏa thuận với Bên bảo đảm thuê đơn vị có chức năng thẩm định giá để làm căn cứ xác định giá khởi điểm;",Agribank có thể thỏa thuận với Bên bảo đảm về giá khởi điểm để đấu giá TSBĐ căn cứ vào giá khởi điểm của phiên đấu giá gần nhất không có người đăng ký mua nhưng tối đa không quá 03 tháng. Giá khởi điểm của phiên đấu giá tiếp theo có thể thấp hơn tối đa 10% so với giá khởi điểm của phiên đấu giá gần nhất.,Tất cả đáp án trên.,4,Khoản 1 Điều 56 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
38,Agribank nơi cấp tín dụng bán tài sản bảo đảm theo phương thức thỏa thuận:,Không được phép.,"Được phép trong trường hợp tài sản bảo đảm đang bán đấu giá nhưng không thành thì trong thời gian bắt buộc giữa hai lần bán đấu giá theo quy định (15 ngày đối với động sản và 30 ngày đối với bất động sản) mà có người mua tài sản với mức giá cao hơn hoặc bằng với giá của kỳ đấu giá không thành gần nhất, thì Agribank nơi cấp tín dụng được thỏa thuận với bên bảo đảm để bán tài sản.",Không được phép trừ trường hợp TSBĐ là bất động sản,Được phép trong trường hợp TSBĐ có người mua.,2,Điểm c Khoản 1 Điều 57 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
39,Agribank có quyền yêu cầu thi hành án đấu giá tài sản thi hành án khi?,"Sau khi Bản án có hiệu lực pháp luật, trường hợp Bên bảo đảm không tự nguyện thi hành án Agribank nơi cấp tín dụng yêu cầu cơ quan thi hành án dân sự có thẩm quyền ra quyết định thi hành án. Thời hiệu yêu cầu thi hành án là 2 năm.","Sau khi Bản án có hiệu lực pháp luật, trường hợp Bên bảo đảm không tự nguyện thi hành án Agribank nơi cấp tín dụng yêu cầu cơ quan thi hành án dân sự có thẩm quyền ra quyết định thi hành án. Thời hiệu yêu cầu thi hành án là 3 năm.","Sau khi Bản án có hiệu lực pháp luật, trường hợp Bên bảo đảm không tự nguyện thi hành án Agribank nơi cấp tín dụng yêu cầu cơ quan thi hành án dân sự có thẩm quyền ra quyết định thi hành án. Thời hiệu yêu cầu thi hành án là 4 năm.","Sau khi Bản án có hiệu lực pháp luật, trường hợp Bên bảo đảm không tự nguyện thi hành án Agribank nơi cấp tín dụng yêu cầu cơ quan thi hành án dân sự có thẩm quyền ra quyết định thi hành án. Thời hiệu yêu cầu thi hành án là 5 năm.",4,Điểm a Khoản 2 Điều 57 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
40,Hội đồng thành viên phê duyệt việc Agribank nhận chính tài sản bảo đảm để thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm trong các trường hợp nào?,"Trường hợp nắm giữ bất động sản do việc xử lý nợ vay theo khoản 3 Điều 132 Luật các TCTD, Agribank nơi cấp tín dụng phải có phương án cụ thể thực hiện việc bán, chuyển nhượng hoặc mua lại tài sản trong thời hạn tối đa 03 năm.","Việc Agribank nhận chính TSBĐ để thay thế cho việc thực hiện nghĩa vụ theo điểm này thực hiện theo hướng dẫn của Tổng Giám đốc sau khi NHNN có hướng dẫn về việc thực hiện khoản 3, Điều 132 Luật các TCTD. ","Trường hợp Agribank nhận TSBĐ để thay thế cho việc thực hiện nghĩa vụ được bảo đảm phục vụ trực tiếp cho các hoạt động nghiệp vụ của mình, phải đáp ứng được tỷ lệ mua, đầu tư vào tài sản cố định theo quy định tại Luật các TCTD. ",Tất cả đáp án trên.,4,"Điểm a, b Khoản 1 Điều 58 QyĐ 2929/QyĐ-NHNo-TD",Rà soát 
41,"Việc Agribank nhận chính tài sản bảo đảm để thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm phải được Hội đồng thành viên phê duyệt trên cơ sở Agribank nơi cấp tín dụng phải có phương án cụ thể thực hiện việc bán, chuyển nhượng hoặc mua lại tài sản trong thời hạn tối đa là?",01 năm.,02 năm.,03 năm.,04 năm.,3,Điểm a Khoản 1 Điều 58 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
42,Chi phí XLTSBĐ được khấu trừ từ tiền thu được từ XLTSBĐ như thế nào?,Sau khi thu hồi nợ.,Trước khi thu hồi nợ.,Tùy thuộc vào giá trị thu hồi được khi XLTSBĐ.,Tùy thuộc vào thỏa thuận giữa các bên.,2,Khoản 2 Điều 60 Quy định 2929/QyĐ-NHNo-TD,Rà soát 
43,Quyền sử dụng đất cấp cho cơ sở tôn giao có được Agribank nhận làm tài sản bảo đảm không?,Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,"Khoản 2, phần I, Phụ lục số 01 Quyết định 2929/QyĐ-NHNo-TD",Bổ sung mới
44,"Quyền sử dụng đất cấp cho mục đích quốc phòng, an ninh có được Agribank nhận làm tài sản bảo đảm không?",Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,"Khoản 2, phân I, Phụ lục số 01 Quyết định 2929/QyĐ-NHNo-TD",Bổ sung mới
45,"Quyền sử dụng đất được tặng, cho, thừa kế theo di chúc với điều kiện không được chuyển nhượng có được Agribank nhận làm tài sản bảo đảm  không?",Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,"Khoản 2, phần I Phụ lục số 01 Quyết định 2929/QyĐ-NHNo-TD",Bổ sung mới
46,Agribank có nhận TSBĐ của Thành viên HĐTV Agribank,Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,,
47,Agribank có nhận TSBĐ của Thành viên Ban Kiểm soát Agribank,Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,,
48,Agribank có nhận TSBĐ của Tổng Giám đốc Agribank,có,không,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,2,,
49,Agribank có nhận TSBĐ của Phó Tổng Giám đốc Agribank,Không,Có,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,1,,
50,"Agribank có nhận TSBĐ là Cổ phiếu Agribank, cổ phiếu công ty con của Agribank không",có,không,Nhận kèm điều kiện,Nhận làm TSBĐ bổ sung,2,,
51,Agribank có nhận Tài sản đang được thế chấp tại tổ chức tín dụng/bên thứ ba khác,không,nhận làm TSBĐ chính thức,Nhận kèm điều kiện,nhận làm TSBĐ bổ sung,4,,